dataset,sample,donor,tissue,histology,n_cells_total,n_immune,n_lymphocyte,n_TNK,n_NK,pct_of_all,pct_of_immune,pct_of_lymphocyte,n_NK_bright,pct_bright_of_NK,decontx_theta_median,median_UMI
GSE173231,CX1,CX1,normal_healthy,-,1790,621,562,502,5,0.27932960893854747,0.8051529790660226,0.8896797153024911,1,20.0,0.02905545058298245,4811.0
GSE173231,CX2,CX2,normal_healthy,-,1624,1422,1319,1171,37,2.2783251231527095,2.60196905766526,2.805155420773313,10,27.027027027027028,0.032716230492484,2851.0
GSE173231,CX3,CX3,normal_healthy,-,3103,939,889,843,46,1.4824363519174992,4.898828541001065,5.174353205849269,14,30.434782608695652,0.0336840235964627,7736.0
GSE173231,CX4,CX4,normal_healthy,-,4011,3907,3897,3889,15,0.3739715781600598,0.3839262861530586,0.3849114703618168,2,13.333333333333334,0.1767029435222614,2840.0
GSE173231,CX5,CX5,normal_healthy,-,2979,1739,1574,1557,11,0.36925142665323935,0.6325474410580794,0.6988564167725541,2,18.181818181818183,0.0439311407507321,2191.0
GSE173231,CX6A,CX6,normal_healthy,-,1205,703,551,512,128,10.622406639004149,18.207681365576104,23.23049001814882,33,25.78125,0.0168166631210306,4796.0
GSE173231,CX6B,CX6,normal_healthy,-,715,398,307,301,71,9.93006993006993,17.839195979899497,23.127035830618894,16,22.535211267605632,0.0157354126624665,4629.0
GSE173231,CX7A,CX7,normal_healthy,-,2293,1594,1536,1519,135,5.887483645878762,8.469259723964868,8.7890625,38,28.14814814814815,0.0456527549787386,2723.0
GSE173231,CX7B,CX7,normal_healthy,-,1415,1102,1022,1013,125,8.8339222614841,11.343012704174228,12.230919765166341,53,42.4,0.0324248529550352,4521.0
GSE173231,CX8,CX8,normal_healthy,-,1666,906,783,658,28,1.680672268907563,3.0905077262693155,3.5759897828863347,9,32.142857142857146,0.0258678586832807,4702.5
