n_droplets,n_qc,n_doublet,n_final,theta_median,dataset,sample,tissue,donor,histology
737280,3868,3,3639,0.05013391762699751,GSE154826,p403_b11,tumor,p403,NSCLC
737280,4153,4,4105,0.061398103717939814,GSE154826,p406_b15,tumor,p406,NSCLC
737280,5628,1,5381,0.03787563784469436,GSE154826,p408_b17,tumor,p408,NSCLC
737280,6023,1,5866,0.062332802143805904,GSE154826,p410_b19,tumor,p410,NSCLC
737280,3294,88,3156,0.04116488618013968,GSE154826,p514_b29,tumor,p514,NSCLC
737280,11503,55,11331,0.09353807337243501,GSE154826,p564_b38,tumor,p564,NSCLC
737280,6416,1,6391,0.04868145245512542,GSE154826,p371_b4,tumor,p371,NSCLC
737280,3675,140,3518,0.03715706460620101,GSE154826,p569_b40,tumor,p569,NSCLC
737280,2689,66,2550,0.05795137392752365,GSE154826,p570_b42,tumor,p570,NSCLC
737280,5659,266,5365,0.05492191360937632,GSE154826,p572_b45,tumor,p572,NSCLC
737280,6315,354,5897,0.04520628008484468,GSE154826,p578_b47,tumor,p578,NSCLC
737280,5623,9,5588,0.06551069037388738,GSE154826,p378_b8,tumor,p378,NSCLC
